customer_id,customer_segment,predicted_discount,predicted_redemption_prob,predicted_revenue,current_redemption_rate,total_spent,avg_order_value,coupon_type
CUST_000001,Medium Value,12.0,0.5,5789.26,0.5,293873.41,13357.88,Premium Discount
CUST_000002,Low Value,16.0,-0.0,0.0,0.0,247525.25,22502.3,Standard Discount
CUST_000003,Low Value,14.0,0.0,0.0,0.0,265360.69,44226.78,Premium Discount
CUST_000004,VIP,7.0,0.444,10344.34,0.444,706342.1,25226.5,Exclusive VIP Offer
CUST_000005,Medium Value,12.0,0.833,19517.87,0.833,612433.49,26627.54,Premium Discount
CUST_000006,Medium Value,15.0,0.429,6205.57,0.429,220354.0,16950.31,Premium Discount
CUST_000007,VIP,5.0,0.4,9276.91,0.4,269828.19,24529.84,Exclusive VIP Offer
CUST_000008,High Value,5.0,0.634,18200.44,0.634,2728688.79,30318.76,Loyalty Reward
CUST_000009,Low Value,11.0,-0.0,0.0,0.0,0.0,0.0,Premium Discount
CUST_000010,VIP,5.0,0.667,12534.68,0.667,1037480.27,19951.54,Exclusive VIP Offer
CUST_000011,Low Value,11.0,0.5,1195.05,0.5,17609.64,2515.66,Premium Discount
CUST_000012,VIP,5.0,0.444,20159.89,0.444,1301967.45,48221.02,Exclusive VIP Offer
CUST_000013,Medium Value,15.0,0.278,4997.4,0.278,1097985.56,21529.13,Premium Discount
CUST_000014,Low Value,21.0,0.0,0.0,0.0,57740.78,7217.6,High Value Discount
CUST_000015,Medium Value,14.0,0.5,7119.0,0.5,165629.88,16562.99,Premium Discount
CUST_000016,Medium Value,12.0,0.769,15702.93,0.769,1215038.15,22925.25,Premium Discount
CUST_000017,High Value,5.0,0.641,28219.31,0.641,5507882.5,46284.73,Loyalty Reward
CUST_000018,Low Value,12.0,-0.0,0.0,0.0,0.0,0.0,Premium Discount
CUST_000019,VIP,6.0,1.0,6382.43,1.0,75746.24,6886.02,Exclusive VIP Offer
CUST_000020,Medium Value,14.0,0.5,13975.11,0.5,1325174.5,30818.01,Premium Discount
CUST_000021,VIP,6.0,0.333,4057.91,0.333,621409.47,13221.48,Exclusive VIP Offer
CUST_000022,Low Value,12.0,0.0,0.0,0.0,23012.19,4602.44,Premium Discount
CUST_000023,High Value,12.0,0.484,9335.54,0.484,1695203.26,21733.38,Premium Discount
CUST_000024,High Value,5.0,0.769,21261.84,0.769,2226289.99,29683.87,Loyalty Reward
CUST_000025,VIP,6.0,0.6,9834.4,0.6,453979.43,17460.75,Exclusive VIP Offer
CUST_000026,Medium Value,15.0,0.5,13576.08,0.5,1032681.08,31293.37,Premium Discount
CUST_000027,Low Value,13.0,0.0,0.0,0.0,53279.67,8879.95,Premium Discount
CUST_000028,High Value,6.0,0.0,0.0,0.0,276162.73,138081.37,Loyalty Reward
CUST_000029,VIP,5.0,0.833,5577.83,0.833,148518.03,7072.29,Exclusive VIP Offer
CUST_000030,Medium Value,14.0,0.533,13908.4,0.533,1117636.42,29411.48,Premium Discount
CUST_000031,High Value,5.0,0.786,29210.0,0.786,2896845.85,39682.82,Loyalty Reward
CUST_000032,VIP,5.0,0.333,4798.58,0.333,637394.51,15546.21,Exclusive VIP Offer
CUST_000033,Low Value,11.0,0.333,1010.89,0.333,51727.41,3232.96,Premium Discount
CUST_000034,VIP,5.0,0.5,2696.25,0.5,29210.25,5842.05,Exclusive VIP Offer
CUST_000035,Low Value,13.0,0.167,4170.46,0.167,376776.18,28982.78,Premium Discount
CUST_000036,Low Value,15.0,0.0,0.0,0.0,86501.69,17300.34,Premium Discount
CUST_000037,Medium Value,15.0,0.5,8766.03,0.5,607049.74,20234.99,Premium Discount
CUST_000038,Low Value,12.0,0.0,0.0,0.0,260721.35,18622.95,Premium Discount
CUST_000039,Medium Value,16.0,0.25,7594.28,0.25,344600.6,34460.06,Standard Discount
CUST_000040,Low Value,12.0,0.0,0.0,0.0,149001.44,21285.92,Premium Discount
CUST_000041,VIP,5.0,0.733,20397.88,0.733,1421283.82,29610.08,Exclusive VIP Offer
CUST_000042,VIP,5.0,0.5,12048.51,0.5,252602.07,25260.21,Exclusive VIP Offer
CUST_000043,Low Value,12.0,0.333,3110.65,0.333,126978.71,10581.56,Premium Discount
CUST_000044,VIP,5.0,0.5,7004.34,0.5,118877.82,14859.73,Exclusive VIP Offer
CUST_000045,Low Value,16.0,-0.0,0.0,0.0,11972.33,2993.08,Standard Discount
CUST_000046,High Value,5.0,0.864,17629.19,0.864,1775129.23,21915.18,Loyalty Reward
CUST_000047,VIP,5.0,0.667,12644.59,0.667,638665.71,19958.3,Exclusive VIP Offer
CUST_000048,VIP,5.0,0.474,5913.44,0.474,497658.21,12760.47,Exclusive VIP Offer
CUST_000049,Medium Value,14.0,0.5,4958.08,0.5,213840.59,11254.77,Premium Discount
CUST_000050,VIP,5.0,0.667,8811.09,0.667,27959.59,13979.79,Exclusive VIP Offer
CUST_000051,VIP,5.0,1.0,34509.51,1.0,769340.24,36635.25,Exclusive VIP Offer
CUST_000052,High Value,5.0,0.711,22882.97,0.711,4203871.26,34177.82,Loyalty Reward
CUST_000053,Low Value,10.0,0.25,7063.69,0.25,595449.03,31339.42,Loyalty Reward
CUST_000054,Medium Value,13.0,0.783,17413.99,0.783,1565114.45,25243.78,Premium Discount
CUST_000055,VIP,5.0,0.667,10537.55,0.667,933938.1,16677.47,Exclusive VIP Offer
CUST_000056,VIP,5.0,0.462,10435.36,0.462,811675.47,23872.81,Exclusive VIP Offer
CUST_000057,Low Value,12.0,0.0,0.0,0.0,100006.85,14286.69,Premium Discount
CUST_000058,VIP,5.0,0.545,13458.9,0.545,1697604.39,26116.99,Exclusive VIP Offer
CUST_000059,VIP,5.0,0.529,15295.81,0.529,1274167.79,31077.26,Exclusive VIP Offer
CUST_000060,High Value,5.0,0.87,34107.19,0.87,2686856.63,41336.26,Loyalty Reward
CUST_000061,VIP,5.0,1.0,25753.24,1.0,418425.73,27895.05,Exclusive VIP Offer
CUST_000062,Low Value,13.0,0.0,0.0,0.0,58174.85,9695.81,Premium Discount
CUST_000063,VIP,5.0,0.8,12875.72,0.8,274949.83,17184.36,Exclusive VIP Offer
CUST_000064,VIP,5.0,0.375,12890.54,0.375,541931.63,36128.78,Exclusive VIP Offer
CUST_000065,Medium Value,13.0,0.706,8927.57,0.706,589302.38,14373.23,Premium Discount
CUST_000066,VIP,5.0,0.727,17982.91,0.727,820578.47,26470.27,Exclusive VIP Offer
CUST_000067,VIP,5.0,0.6,12555.86,0.6,930500.88,22154.78,Exclusive VIP Offer
CUST_000068,High Value,12.0,0.562,20898.87,0.562,2090435.1,41808.7,Premium Discount
CUST_000069,VIP,5.0,0.875,30692.06,0.875,1145790.85,36961.0,Exclusive VIP Offer
CUST_000070,VIP,5.0,0.5,19777.7,0.5,1072260.33,41240.78,Exclusive VIP Offer
CUST_000071,VIP,5.0,1.0,17292.37,1.0,204873.93,18624.9,Exclusive VIP Offer
CUST_000072,Medium Value,14.0,0.519,5714.86,0.519,964732.86,12863.1,Premium Discount
CUST_000073,VIP,5.0,0.778,10608.13,0.778,573638.91,14340.97,Exclusive VIP Offer
CUST_000074,VIP,8.0,0.333,6310.84,0.333,711805.34,20935.45,Exclusive VIP Offer
CUST_000075,Low Value,16.0,0.0,0.0,0.0,276083.81,27608.38,Standard Discount
CUST_000076,High Value,5.0,0.773,31945.36,0.773,3206317.08,43328.61,Loyalty Reward
CUST_000077,Medium Value,15.0,0.333,5767.11,0.333,502668.52,20106.74,Premium Discount
CUST_000078,VIP,8.0,0.5,3353.48,0.5,117119.57,7319.97,Exclusive VIP Offer
CUST_000079,VIP,5.0,0.8,4911.66,0.8,76580.55,6381.71,Exclusive VIP Offer
CUST_000080,Medium Value,14.0,0.667,4974.75,0.667,71770.86,7974.54,Premium Discount
CUST_000081,VIP,5.0,0.5,11101.72,0.5,825125.81,23575.02,Exclusive VIP Offer
CUST_000082,Medium Value,13.0,0.667,8057.61,0.667,237334.98,13960.88,Premium Discount
CUST_000083,Low Value,11.0,0.167,1452.39,0.167,149110.01,9940.67,Premium Discount
CUST_000084,Low Value,12.0,-0.0,0.0,0.0,58672.82,7334.1,Premium Discount
CUST_000085,Medium Value,13.0,0.875,16202.23,0.875,701615.96,20046.17,Premium Discount
CUST_000086,VIP,5.0,0.75,15329.71,0.75,797518.8,21554.56,Exclusive VIP Offer
CUST_000087,Medium Value,13.0,0.625,8616.93,0.625,884374.81,15792.41,Premium Discount
CUST_000088,Low Value,13.0,-0.0,0.0,0.0,10203.03,3401.01,Premium Discount
CUST_000089,VIP,5.0,0.5,14594.82,0.5,972941.91,30404.43,Exclusive VIP Offer
CUST_000090,Low Value,13.0,0.0,0.0,0.0,19189.66,19189.66,Premium Discount
CUST_000091,VIP,5.0,0.333,14657.69,0.333,272708.74,45451.46,Exclusive VIP Offer
CUST_000092,Medium Value,14.0,0.667,6757.47,0.667,279529.25,11647.05,Premium Discount
CUST_000093,Medium Value,15.0,0.5,2276.76,0.5,67351.26,5180.87,Premium Discount
CUST_000094,VIP,5.0,0.75,13044.21,0.75,1173159.72,17775.15,Exclusive VIP Offer
CUST_000095,VIP,5.0,0.6,6483.58,0.6,273500.62,11395.86,Exclusive VIP Offer
CUST_000096,Medium Value,15.0,0.5,6132.45,0.5,315296.12,14331.64,Premium Discount
CUST_000097,VIP,8.0,0.4,9729.5,0.4,1013033.37,28139.82,Exclusive VIP Offer
CUST_000098,Low Value,14.0,0.111,4380.72,0.111,861374.08,50669.06,Premium Discount
CUST_000099,Low Value,17.0,0.333,3083.01,0.333,234571.88,11170.09,Standard Discount
CUST_000100,VIP,5.0,0.692,20297.89,0.692,705083.34,30655.8,Exclusive VIP Offer
CUST_000101,High Value,5.0,0.794,24724.04,0.794,4085797.64,32686.38,Loyalty Reward
CUST_000102,VIP,6.0,0.667,9514.92,0.667,288422.86,15180.15,Exclusive VIP Offer
CUST_000103,Low Value,11.0,-0.0,0.0,0.0,291613.34,20829.52,Premium Discount
